"","dt","dnum","hnum","totchib","winchib","xbxchib","xtkchib","xabchib","totcall","wincall","xbxcall","xtkcall","xabcall","actsess","actuser"
"1",2017-03-08 00:00:00,797,19128,1080,671,409,261,148,2356,493,1863,1342,521,99828,99207
"2",2017-03-08 01:00:00,797,19129,1147,744,403,269,134,1949,388,1561,1146,415,97446,96878
"3",2017-03-08 02:00:00,797,19130,1061,703,358,254,104,1608,330,1278,925,353,92277,91677
"4",2017-03-08 03:00:00,797,19131,918,580,338,223,115,1196,244,952,695,257,88751,88193
"5",2017-03-08 04:00:00,797,19132,722,494,228,144,84,773,179,594,445,149,84638,84110
"6",2017-03-08 05:00:00,797,19133,545,390,155,99,56,448,85,363,265,98,78685,78178
"7",2017-03-08 06:00:00,797,19134,459,322,137,79,58,295,89,206,154,52,80487,79965
"8",2017-03-08 07:00:00,797,19135,372,292,80,45,35,120,42,78,58,20,84277,83677
"9",2017-03-08 08:00:00,797,19136,316,234,82,44,38,106,35,71,50,21,86327,85689
"10",2017-03-08 09:00:00,797,19137,300,235,65,42,23,68,26,42,33,9,87945,87259
"11",2017-03-08 10:00:00,797,19138,318,269,49,29,20,69,31,38,25,13,86219,85617
"12",2017-03-08 11:00:00,797,19139,327,254,73,46,27,104,49,55,37,18,90249,89633
"13",2017-03-08 12:00:00,797,19140,400,317,83,48,35,282,81,201,133,68,111263,110594
"14",2017-03-08 13:00:00,797,19141,630,502,128,79,49,733,211,522,350,172,147773,146875
"15",2017-03-08 14:00:00,797,19142,700,600,100,61,39,1128,293,835,568,267,178881,177749
"16",2017-03-08 15:00:00,797,19143,908,763,145,92,53,1345,410,935,642,293,187179,185932
"17",2017-03-08 16:00:00,797,19144,854,683,171,104,67,1428,510,918,637,281,187058,185818
"18",2017-03-08 17:00:00,797,19145,937,744,193,126,67,1707,607,1100,773,327,172492,171342
"19",2017-03-08 18:00:00,797,19146,886,710,176,107,69,1774,634,1140,796,344,169031,167990
"20",2017-03-08 19:00:00,797,19147,929,719,210,132,78,1845,597,1248,875,373,167233,166087
"21",2017-03-08 20:00:00,797,19148,1033,744,289,179,110,2081,662,1419,996,423,157915,156834
"22",2017-03-08 21:00:00,797,19149,953,681,272,180,92,2234,558,1676,1195,481,142413,141417
"23",2017-03-08 22:00:00,797,19150,987,701,286,170,116,2222,537,1685,1222,463,120771,120003
"24",2017-03-08 23:00:00,797,19151,992,683,309,195,114,2243,518,1725,1239,486,103829,103156
"25",2017-03-09 00:00:00,798,19152,977,675,302,193,109,2203,447,1756,1254,502,98121,97543
"26",2017-03-09 01:00:00,798,19153,1036,676,360,248,112,1844,364,1480,1053,427,98710,98088
"27",2017-03-09 02:00:00,798,19154,916,573,343,210,133,1559,349,1210,868,342,95003,94390
"28",2017-03-09 03:00:00,798,19155,808,508,300,198,102,1079,228,851,609,242,90836,90272
"29",2017-03-09 04:00:00,798,19156,698,442,256,164,92,742,184,558,418,140,86573,86075
"30",2017-03-09 05:00:00,798,19157,611,425,186,131,55,450,109,341,243,98,83783,83237
"31",2017-03-09 06:00:00,798,19158,465,346,119,72,47,311,100,211,148,63,87171,86595
"32",2017-03-09 07:00:00,798,19159,331,244,87,57,30,166,41,125,92,33,89032,88431
"33",2017-03-09 08:00:00,798,19160,306,234,72,54,18,106,47,59,41,18,90526,89867
"34",2017-03-09 09:00:00,798,19161,318,242,76,38,38,99,37,62,47,15,91909,91273
"35",2017-03-09 10:00:00,798,19162,295,250,45,27,18,76,27,49,30,19,90362,89724
"36",2017-03-09 11:00:00,798,19163,287,209,78,35,43,132,45,87,64,23,97200,96545
"37",2017-03-09 12:00:00,798,19164,363,274,89,59,30,255,81,174,122,52,130756,130029
"38",2017-03-09 13:00:00,798,19165,532,422,110,53,57,679,249,430,300,130,188467,187478
"39",2017-03-09 14:00:00,798,19166,688,571,117,68,49,1058,372,686,464,222,221456,220195
"40",2017-03-09 15:00:00,798,19167,783,649,134,78,56,1262,436,826,547,279,222841,221417
"41",2017-03-09 16:00:00,798,19168,873,718,155,94,61,1500,513,987,681,306,216869,215545
"42",2017-03-09 17:00:00,798,19169,888,711,177,118,59,1612,520,1092,765,327,195778,194538
"43",2017-03-09 18:00:00,798,19170,853,678,175,113,62,1752,530,1222,853,369,190460,189276
"44",2017-03-09 19:00:00,798,19171,873,676,197,119,78,1741,580,1161,793,368,187672,186451
"45",2017-03-09 20:00:00,798,19172,1027,783,244,151,93,2044,628,1416,994,422,175322,174165
"46",2017-03-09 21:00:00,798,19173,997,732,265,165,100,2127,597,1530,1062,468,159099,158206
"47",2017-03-09 22:00:00,798,19174,971,694,277,181,96,2121,506,1615,1136,479,132221,131422
"48",2017-03-09 23:00:00,798,19175,1013,676,337,215,122,2271,457,1814,1288,526,107092,106465
"49",2017-03-10 00:00:00,799,19176,1036,674,362,231,131,2000,401,1599,1138,461,101490,100910
"50",2017-03-10 01:00:00,799,19177,1029,638,391,272,119,1727,359,1368,992,376,98401,97810
"51",2017-03-10 02:00:00,799,19178,916,590,326,213,113,1411,295,1116,841,275,92342,91753
"52",2017-03-10 03:00:00,799,19179,894,596,298,197,101,1131,237,894,647,247,87346,86768
"53",2017-03-10 04:00:00,799,19180,775,527,248,162,86,716,193,523,386,137,80843,80354
"54",2017-03-10 05:00:00,799,19181,549,361,188,107,81,479,102,377,269,108,75425,74918
"55",2017-03-10 06:00:00,799,19182,427,296,131,76,55,309,72,237,172,65,77684,77228
"56",2017-03-10 07:00:00,799,19183,337,222,115,63,52,166,54,112,82,30,80723,80220
"57",2017-03-10 08:00:00,799,19184,286,203,83,39,44,90,30,60,43,17,81516,80934
"58",2017-03-10 09:00:00,799,19185,329,252,77,51,26,84,34,50,34,16,83442,82817
"59",2017-03-10 10:00:00,799,19186,298,229,69,40,29,70,25,45,35,10,81784,81209
"60",2017-03-10 11:00:00,799,19187,274,223,51,28,23,96,38,58,49,9,89925,89389
"61",2017-03-10 12:00:00,799,19188,340,260,80,44,36,294,65,229,160,69,122325,121669
"62",2017-03-10 13:00:00,799,19189,569,418,151,98,53,797,230,567,402,165,172379,171407
"63",2017-03-10 14:00:00,799,19190,759,569,190,124,66,1211,334,877,649,228,199354,198115
"64",2017-03-10 15:00:00,799,19191,842,646,196,127,69,1462,464,998,719,279,198833,197568
"65",2017-03-10 16:00:00,799,19192,910,703,207,133,74,1606,534,1072,765,307,195405,194105
"66",2017-03-10 17:00:00,799,19193,920,716,204,116,88,1550,528,1022,715,307,176729,175621
"67",2017-03-10 18:00:00,799,19194,881,682,199,113,86,1918,566,1352,946,406,167898,166784
"68",2017-03-10 19:00:00,799,19195,870,659,211,124,87,1864,582,1282,892,390,163591,162503
"69",2017-03-10 20:00:00,799,19196,935,677,258,157,101,2169,612,1557,1097,460,152239,151260
"70",2017-03-10 21:00:00,799,19197,1024,705,319,186,133,2187,621,1566,1136,430,136208,135312
"71",2017-03-10 22:00:00,799,19198,1020,660,360,227,133,2374,563,1811,1289,522,113336,112663
"72",2017-03-10 23:00:00,799,19199,974,642,332,201,131,2168,468,1700,1230,470,92153,91606
"73",2017-03-11 00:00:00,800,19200,1013,590,423,284,139,1964,415,1549,1135,414,80863,80399
"74",2017-03-11 01:00:00,800,19201,957,589,368,262,106,1712,350,1362,1007,355,74921,74514
"75",2017-03-11 02:00:00,800,19202,976,557,419,276,143,1524,311,1213,890,323,71840,71453
"76",2017-03-11 03:00:00,800,19203,900,566,334,230,104,1179,198,981,720,261,69607,69194
"77",2017-03-11 04:00:00,800,19204,769,466,303,191,112,917,184,733,527,206,67321,66941
"78",2017-03-11 05:00:00,800,19205,636,366,270,164,106,648,139,509,386,123,62423,62066
"79",2017-03-11 06:00:00,800,19206,511,274,237,142,95,421,86,335,238,97,59957,59574
"80",2017-03-11 07:00:00,800,19207,435,288,147,91,56,218,70,148,106,42,56667,56312
"81",2017-03-11 08:00:00,800,19208,318,227,91,49,42,109,37,72,51,21,55922,55590
"82",2017-03-11 09:00:00,800,19209,302,214,88,46,42,96,41,55,41,14,54953,54630
"83",2017-03-11 10:00:00,800,19210,230,186,44,25,19,91,45,46,33,13,55150,54817
"84",2017-03-11 11:00:00,800,19211,278,219,59,38,21,89,32,57,40,17,59572,59226
"85",2017-03-11 12:00:00,800,19212,352,251,101,69,32,282,90,192,132,60,69636,69275
"86",2017-03-11 13:00:00,800,19213,484,348,136,89,47,569,138,431,310,121,80094,79634
"87",2017-03-11 14:00:00,800,19214,695,480,215,135,80,1141,280,861,607,254,90019,89493
"88",2017-03-11 15:00:00,800,19215,919,645,274,149,125,1654,325,1329,930,399,97695,97143
"89",2017-03-11 16:00:00,800,19216,1142,777,365,215,150,1740,433,1307,925,382,101405,100810
"90",2017-03-11 17:00:00,800,19217,1096,736,360,222,138,1850,442,1408,1010,398,99800,99243
"91",2017-03-11 18:00:00,800,19218,1084,730,354,216,138,2085,425,1660,1186,474,95387,94778
"92",2017-03-11 19:00:00,800,19219,1048,703,345,210,135,2153,446,1707,1207,500,91109,90565
"93",2017-03-11 20:00:00,800,19220,1062,710,352,219,133,1926,421,1505,1097,408,88574,87995
"94",2017-03-11 21:00:00,800,19221,1060,703,357,247,110,2132,497,1635,1167,468,83399,82878
"95",2017-03-11 22:00:00,800,19222,1113,667,446,308,138,1915,411,1504,1094,410,77681,77178
"96",2017-03-11 23:00:00,800,19223,1134,680,454,295,159,1790,352,1438,1044,394,71246,70806
"97",2017-03-12 00:00:00,801,19224,1083,656,427,259,168,1591,320,1271,921,350,68804,68385
"98",2017-03-12 01:00:00,801,19225,990,594,396,242,154,1511,258,1253,916,337,65086,64704
"99",2017-03-12 02:00:00,801,19226,997,565,432,278,154,1471,232,1239,918,321,66571,66152
"100",2017-03-12 03:00:00,801,19227,927,556,371,236,135,1153,160,993,730,263,67369,67015
"101",2017-03-12 04:00:00,801,19228,795,470,325,214,111,821,126,695,495,200,67102,66698
"102",2017-03-12 05:00:00,801,19229,764,425,339,221,118,557,115,442,318,124,62384,62043
"103",2017-03-12 06:00:00,801,19230,529,330,199,127,72,320,62,258,199,59,59110,58730
"104",2017-03-12 07:00:00,801,19231,379,230,149,104,45,210,55,155,112,43,57294,56962
"105",2017-03-12 08:00:00,801,19232,324,224,100,55,45,117,52,65,48,17,55854,55553
"106",2017-03-12 09:00:00,801,19233,288,197,91,51,40,79,32,47,29,18,53881,53550
"107",2017-03-12 10:00:00,801,19234,277,218,59,32,27,81,33,48,30,18,56515,56170
"108",2017-03-12 11:00:00,801,19235,295,236,59,33,26,110,35,75,55,20,60365,60004
"109",2017-03-12 12:00:00,801,19236,340,260,80,53,27,266,63,203,141,62,67924,67545
"110",2017-03-12 13:00:00,801,19237,487,317,170,117,53,577,109,468,333,135,74867,74447
"111",2017-03-12 14:00:00,801,19238,638,446,192,103,89,929,175,754,524,230,82963,82466
"112",2017-03-12 15:00:00,801,19239,749,513,236,147,89,1261,235,1026,717,309,88971,88420
"113",2017-03-12 16:00:00,801,19240,922,619,303,174,129,1540,261,1279,915,364,93088,92524
"114",2017-03-12 17:00:00,801,19241,953,637,316,203,113,1895,304,1591,1148,443,95393,94847
"115",2017-03-12 18:00:00,801,19242,1080,712,368,221,147,2048,383,1665,1186,479,95523,94975
"116",2017-03-12 19:00:00,801,19243,1064,704,360,221,139,1909,346,1563,1157,406,93272,92730
"117",2017-03-12 20:00:00,801,19244,1047,665,382,258,124,1908,418,1490,1090,400,89254,88686
"118",2017-03-12 21:00:00,801,19245,1069,676,393,264,129,1769,365,1404,1046,358,84725,84225
"119",2017-03-12 22:00:00,801,19246,1042,677,365,221,144,1950,375,1575,1142,433,79997,79507
"120",2017-03-12 23:00:00,801,19247,1061,634,427,259,168,1737,346,1391,1024,367,80469,79985
"121",2017-03-13 00:00:00,802,19248,1087,682,405,253,152,1575,302,1273,923,350,85575,85089
"122",2017-03-13 01:00:00,802,19249,1034,659,375,259,116,1193,208,985,716,269,92007,91458
"123",2017-03-13 02:00:00,802,19250,938,614,324,198,126,933,208,725,512,213,85981,85407
"124",2017-03-13 03:00:00,802,19251,726,454,272,174,98,668,128,540,385,155,80177,79688
"125",2017-03-13 04:00:00,802,19252,630,424,206,122,84,431,86,345,259,86,75450,74999
"126",2017-03-13 05:00:00,802,19253,495,347,148,87,61,254,68,186,134,52,72663,72191
"127",2017-03-13 06:00:00,802,19254,393,254,139,89,50,166,51,115,82,33,78611,78053
"128",2017-03-13 07:00:00,802,19255,322,227,95,48,47,105,33,72,55,17,84210,83641
"129",2017-03-13 08:00:00,802,19256,293,243,50,28,22,65,23,42,30,12,86536,85945
"130",2017-03-13 09:00:00,802,19257,278,221,57,39,18,84,47,37,25,12,91352,90723
"131",2017-03-13 10:00:00,802,19258,293,239,54,34,20,104,34,70,45,25,103801,103157
"132",2017-03-13 11:00:00,802,19259,356,293,63,29,34,196,63,133,93,40,149023,148303
"133",2017-03-13 12:00:00,802,19260,446,356,90,51,39,533,159,374,256,118,224186,223109
"134",2017-03-13 13:00:00,802,19261,676,555,121,74,47,967,316,651,420,231,251742,250357
"135",2017-03-13 14:00:00,802,19262,758,620,138,76,62,1136,363,773,530,243,247884,246373
"136",2017-03-13 15:00:00,802,19263,914,739,175,98,77,1587,451,1136,784,352,238594,237115
"137",2017-03-13 16:00:00,802,19264,917,747,170,90,80,1699,495,1204,842,362,213020,211663
"138",2017-03-13 17:00:00,802,19265,1036,809,227,133,94,1830,556,1274,869,405,202342,201088
"139",2017-03-13 18:00:00,802,19266,1119,844,275,171,104,1979,606,1373,975,398,194038,192825
"140",2017-03-13 19:00:00,802,19267,1185,844,341,214,127,2658,547,2111,1483,628,185066,183880
"141",2017-03-13 20:00:00,802,19268,1222,854,368,238,130,2782,590,2192,1543,649,167561,166485
"142",2017-03-13 21:00:00,802,19269,1203,838,365,220,145,2516,577,1939,1393,546,139616,138753
"143",2017-03-13 22:00:00,802,19270,1241,834,407,250,157,2401,493,1908,1391,517,115049,114342
"144",2017-03-13 23:00:00,802,19271,1166,766,400,264,136,2317,420,1897,1383,514,102017,101387
"145",2017-03-14 00:00:00,803,19272,1116,688,428,260,168,1976,404,1572,1148,424,95154,94583
"146",2017-03-14 01:00:00,803,19273,1088,714,374,229,145,1772,333,1439,1040,399,94217,93634
"147",2017-03-14 02:00:00,803,19274,1022,650,372,241,131,1279,249,1030,740,290,89893,89319
"148",2017-03-14 03:00:00,803,19275,893,595,298,196,102,869,179,690,515,175,84865,84340
"149",2017-03-14 04:00:00,803,19276,673,443,230,164,66,549,127,422,314,108,80139,79636
"150",2017-03-14 05:00:00,803,19277,501,332,169,111,58,338,91,247,175,72,77257,76761
"151",2017-03-14 06:00:00,803,19278,370,263,107,67,40,184,56,128,96,32,80681,80155
"152",2017-03-14 07:00:00,803,19279,351,261,90,62,28,119,43,76,53,23,85205,84586
"153",2017-03-14 08:00:00,803,19280,349,275,74,43,31,83,44,39,27,12,87719,87036
"154",2017-03-14 09:00:00,803,19281,342,289,53,31,22,76,29,47,32,15,91345,90701
"155",2017-03-14 10:00:00,803,19282,285,240,45,32,13,87,43,44,33,11,96437,95756
"156",2017-03-14 11:00:00,803,19283,336,266,70,43,27,197,73,124,83,41,115800,115069
"157",2017-03-14 12:00:00,803,19284,457,360,97,55,42,483,141,342,237,105,156324,155466
"158",2017-03-14 13:00:00,803,19285,669,531,138,87,51,892,252,640,445,195,184543,183388
"159",2017-03-14 14:00:00,803,19286,844,668,176,106,70,1471,368,1103,777,326,196723,195455
"160",2017-03-14 15:00:00,803,19287,1028,777,251,155,96,1844,486,1358,931,427,198175,196861
"161",2017-03-14 16:00:00,803,19288,1077,807,270,186,84,2044,570,1474,1048,426,182394,181165
"162",2017-03-14 17:00:00,803,19289,1178,832,346,230,116,2203,646,1557,1092,465,177664,176473
"163",2017-03-14 18:00:00,803,19290,1249,901,348,224,124,2085,615,1470,1056,414,174492,173275
"164",2017-03-14 19:00:00,803,19291,1249,875,374,234,140,2226,671,1555,1116,439,167999,166932
"165",2017-03-14 20:00:00,803,19292,1204,830,374,262,112,2417,647,1770,1267,503,160451,159303
"166",2017-03-14 21:00:00,803,19293,1308,855,453,296,157,2512,645,1867,1349,518,139728,138854
"167",2017-03-14 22:00:00,803,19294,1142,733,409,274,135,2667,524,2143,1521,622,121975,121183
"168",2017-03-14 23:00:00,803,19295,1250,796,454,299,155,2335,483,1852,1324,528,110770,110078
"169",2017-03-15 00:00:00,804,19296,1126,677,449,299,150,2009,390,1619,1191,428,105689,105043
"170",2017-03-15 01:00:00,804,19297,1115,716,399,263,136,1661,333,1328,969,359,103228,102581
"171",2017-03-15 02:00:00,804,19298,1000,588,412,272,140,1261,233,1028,755,273,99179,98543
"172",2017-03-15 03:00:00,804,19299,863,548,315,204,111,881,184,697,506,191,93996,93378
"173",2017-03-15 04:00:00,804,19300,716,476,240,172,68,559,105,454,335,119,87589,87017
"174",2017-03-15 05:00:00,804,19301,558,373,185,111,74,395,119,276,202,74,83165,82600
"175",2017-03-15 06:00:00,804,19302,403,287,116,66,50,183,59,124,87,37,87161,86556
"176",2017-03-15 07:00:00,804,19303,311,240,71,39,32,136,49,87,59,28,93885,93268
"177",2017-03-15 08:00:00,804,19304,291,229,62,34,28,98,47,51,34,17,95828,95165
"178",2017-03-15 09:00:00,804,19305,301,240,61,35,26,48,23,25,19,6,98438,97669
"179",2017-03-15 10:00:00,804,19306,316,262,54,33,21,150,70,80,56,24,105025,104300
"180",2017-03-15 11:00:00,804,19307,331,263,68,39,29,206,82,124,80,44,122188,121399
"181",2017-03-15 12:00:00,804,19308,476,384,92,49,43,580,198,382,263,119,161440,160464
"182",2017-03-15 13:00:00,804,19309,694,579,115,69,46,1023,332,691,455,236,192863,191668
"183",2017-03-15 14:00:00,804,19310,802,665,137,90,47,1339,461,878,612,266,207770,206296
"184",2017-03-15 15:00:00,804,19311,898,736,162,110,52,1554,575,979,678,301,208469,207048
"185",2017-03-15 16:00:00,804,19312,994,759,235,134,101,1810,620,1190,852,338,195843,194522
"186",2017-03-15 17:00:00,804,19313,983,767,216,138,78,1897,604,1293,908,385,189658,188347
"187",2017-03-15 18:00:00,804,19314,1058,785,273,174,99,2090,707,1383,979,404,182205,180903
"188",2017-03-15 19:00:00,804,19315,1084,805,279,184,95,2178,709,1469,1049,420,175008,173717
"189",2017-03-15 20:00:00,804,19316,1131,781,350,221,129,2213,682,1531,1104,427,162847,161690
"190",2017-03-15 21:00:00,804,19317,1123,777,346,216,130,2424,613,1811,1305,506,149149,148179
"191",2017-03-15 22:00:00,804,19318,1240,839,401,254,147,2435,612,1823,1339,484,135011,134057
"192",2017-03-15 23:00:00,804,19319,1298,875,423,288,135,2350,596,1754,1273,481,121757,120888
"193",2017-03-16 00:00:00,805,19320,1229,769,460,312,148,2004,486,1518,1099,419,118723,117985
"194",2017-03-16 01:00:00,805,19321,1119,707,412,271,141,1628,399,1229,886,343,117335,116590
"195",2017-03-16 02:00:00,805,19322,962,587,375,252,123,1174,274,900,649,251,109426,108746
"196",2017-03-16 03:00:00,805,19323,897,601,296,209,87,863,237,626,456,170,100914,100301
"197",2017-03-16 04:00:00,805,19324,710,461,249,170,79,573,162,411,295,116,92781,92156
"198",2017-03-16 05:00:00,805,19325,566,394,172,116,56,327,106,221,161,60,87561,86991
"199",2017-03-16 06:00:00,805,19326,429,296,133,90,43,192,68,124,86,38,90763,90132
"200",2017-03-16 07:00:00,805,19327,343,256,87,46,41,133,57,76,56,20,97346,96633
"201",2017-03-16 08:00:00,805,19328,340,268,72,47,25,97,46,51,33,18,99887,99173
"202",2017-03-16 09:00:00,805,19329,293,243,50,33,17,87,41,46,32,14,102365,101612
"203",2017-03-16 10:00:00,805,19330,323,272,51,29,22,126,57,69,50,19,113256,112505
"204",2017-03-16 11:00:00,805,19331,372,320,52,31,21,251,114,137,93,44,141961,141231
"205",2017-03-16 12:00:00,805,19332,478,391,87,48,39,553,216,337,223,114,201130,200049
"206",2017-03-16 13:00:00,805,19333,630,534,96,71,25,1093,379,714,493,221,236091,234609
"207",2017-03-16 14:00:00,805,19334,819,702,117,78,39,1233,465,768,543,225,242983,241392
"208",2017-03-16 15:00:00,805,19335,930,768,162,110,52,1512,565,947,652,295,238316,236780
"209",2017-03-16 16:00:00,805,19336,983,795,188,123,65,1755,612,1143,817,326,219574,218111
"210",2017-03-16 17:00:00,805,19337,1087,845,242,157,85,1896,622,1274,910,364,213465,212060
"211",2017-03-16 18:00:00,805,19338,1056,775,281,166,115,2071,725,1346,957,389,205149,203880
"212",2017-03-16 19:00:00,805,19339,1133,847,286,172,114,2168,704,1464,1038,426,192732,191551
"213",2017-03-16 20:00:00,805,19340,1156,871,285,189,96,2279,683,1596,1148,448,179592,178433
"214",2017-03-16 21:00:00,805,19341,1183,857,326,211,115,2357,610,1747,1270,477,153918,152973
"215",2017-03-16 22:00:00,805,19342,1195,822,373,238,135,2203,540,1663,1206,457,132211,131375
"216",2017-03-16 23:00:00,805,19343,1183,752,431,283,148,2121,532,1589,1130,459,116630,115935
"217",2017-03-17 00:00:00,806,19344,1130,724,406,260,146,1861,457,1404,1013,391,111221,110563
"218",2017-03-17 01:00:00,806,19345,1188,686,502,316,186,1755,391,1364,998,366,108547,107858
"219",2017-03-17 02:00:00,806,19346,981,614,367,245,122,1360,336,1024,740,284,101190,100556
"220",2017-03-17 03:00:00,806,19347,889,572,317,224,93,1021,242,779,552,227,92364,91808
"221",2017-03-17 04:00:00,806,19348,653,422,231,137,94,671,147,524,359,165,81281,80808
"222",2017-03-17 05:00:00,806,19349,499,324,175,110,65,400,113,287,211,76,76078,75608
"223",2017-03-17 06:00:00,806,19350,404,263,141,83,58,176,52,124,92,32,79788,79264
"224",2017-03-17 07:00:00,806,19351,342,261,81,53,28,147,45,102,67,35,83692,83130
